Sensor, Pedestrians
Bourke Street Mall (North), 0
Bourke Street Mall (South), 0
Melbourne Central, 0
Town Hall (West), 0
Princes Bridge, 0
Flinders Street Station Underpass, 0
Birrarung Marr, 0
Webb Bridge, 0
Southern Cross Station, 0
Victoria Point, 0
Waterfront City, 0
New Quay, 0
Flagstaff Station, 0
Sandridge Bridge, 0
State Library, 0
Australia on Collins, 0
Collins Place (South), 0
Collins Place (North), 0
Chinatown-Swanston St (North), 0
Chinatown-Lt Bourke St (South), 0
Bourke St-Russell St (West), 0
Flinders St-Elizabeth St (East), 0
Spencer St-Collins St (South), 0
Spencer St-Collins St (North), 0
Melbourne Convention Exhibition Centre, 0
QV Market-Elizabeth St (West), 0
QV Market-Peel St, 0
The Arts Centre, 0
St Kilda Rd-Alexandra Gardens, 0
Lonsdale St (South), 0
Lygon St (West), 0
City Square, 0
Flinders St-Spring St (West), 0
Flinders St-Spark La, 0
Southbank, 0
Queen St (West), 0
Lygon St (East), 0
Flinders St-Swanston St (West), 0
Alfred Place, 0
Lonsdale St-Spring St (West), 0
Flinders La-Swanston St (West), 0
Grattan St-Swanston St (West), 0
Monash Rd-Swanston St (West), 0
Tin Alley-Swanston St (West), 0
Little Collins St-Swanston St (East), 0
Pelham St (South), 0
Melbourne Central-Elizabeth St (East), 0
QVM-Queen St (East), 0
QVM-Therry St (South), 0
Faraday St-Lygon St (West), 0
QVM-Franklin St (North), 0
Elizabeth St-Lonsdale St (South), 0
Collins Street (North), 0
Lincoln-Swanston (West), 0
Elizabeth St-La Trobe St (East), 0
Lonsdale St - Elizabeth St (North), 0
Bourke St Bridge, 0
Bourke St - Spencer St (North), 0
Building 80 RMIT, 0
Flinders La - Swanston St (West) Temporary, 0
RMIT Building 14, 0
La Trobe St (North), 0
231 Bourke St, 0
Royal Pde - Grattan St, 0
Swanston St - City Square, 0
State Library - New, 0
Flinders Ln -Degraves St (South), 0
Flinders Ln -Degraves St (North), 0
Flinders Ln -Degraves St (Crossing), 0
Errol Street (East), 0
Westwood Place, 0
Flinders St- ACMI, 0
Bourke St - Spencer St (South), 0
(null), 0
Spring St- Flinders st (West), 0
Macaulay Rd- Bellair St, 0
Harbour Esplanade (West) - Pedestrian path, 0
Harbour Esplanade (West) - Bike Path, 0
Flinders St (South), 0
Boyd Commuinty - Rear door, 0
Boyd Commuinty - Front door, 0
Pop-up Lib Elizabeth St Left entry, 0
Pop-up Lib Elizabeth St Right entry, 0
Elizabeth St - Flinders St (East) - New footpath, 0
Macaulay Rd (North), 0
Queensberry St - Errol St (South), 0
