Year; Weekdays Count; Weekends Count; Total Count
2022; 51136880; 24967407; 76104287
2021; 86583656; 37329696; 123913352
2020; 78557093; 28271442; 106828535
2019; 174519099; 55814632; 230333731
2018; 172561506; 57395046; 229956552
2017; 140445011; 48630941; 189075952
2016; 123180623; 42869509; 166050132
2015; 107881015; 37668847; 145549862
2014; 90279722; 32399362; 122679084
2013; 67190382; 23417244; 90607626
2012; 60567022; 19804187; 80371209
2011; 52410699; 16438364; 68849063
2010; 55092386; 17192986; 72285372
2009; 36636167; 11614020; 48250187
